label,message
safe,Assalamualaikum parents hari ini murid balik 12 30 tengah hari
safe,Reminder bawa buku latihan BM esok ya
safe,Kelas tambahan Matematik hari Rabu 2 30 petang
safe,Harap ibu bapa semak buku komunikasi anak malam ini
safe,Tugasan Sains perlu dihantar sebelum Jumaat
safe,Pihak sekolah minta ibu bapa isi borang kebenaran lawatan
safe,Mesyuarat PIBG akan diadakan Sabtu ini jam 9 pagi
safe,Cikgu akan share nota dalam group selepas kelas
safe,Sila pastikan anak bawa pakaian sukan hari Khamis
safe,Selamat pagi semua mohon maklumkan jika anak tidak hadir
safe,Parents please remind anak siapkan homework English
safe,Link Google Meet kelas online akan diberi 10 min sebelum mula
safe,Sila hantar yuran aktiviti melalui saluran sekolah yang biasa
safe,Perhatian esok ada latihan kebakaran di sekolah
safe,Minggu depan ada ujian BM dan BI sila buat ulangkaji
safe,Terima kasih ibu bapa atas kerjasama hari ini
safe,Cikgu perlukan salinan sijil lahir anak untuk rekod
safe,Anak akan bawa balik surat makluman hari ini
safe,Jika ada pertanyaan boleh PM cikgu ya
safe,Esok murid pakai baju unit beruniform
safe,Reminder bawa alat tulis lengkap
safe,Parents mohon semak jadual peperiksaan yang cikgu bagi
safe,Kelas ganti hari ini dibatalkan
safe,Harap maklum cuti umum hari Isnin
safe,Anak diminta bawa botol air sendiri
safe,Sila pastikan anak sarapan sebelum datang sekolah
safe,Info program gotong royong hujung minggu ini
safe,Cikgu akan buat kuiz ringkas dalam kelas esok
safe,Terima kasih sebab cepat respon
safe,Slip keputusan akan diedarkan minggu depan
safe,Parents mohon tandatangan buku rekod bacaan
safe,Assalam mohon ibu bapa hadir ambil buku teks
safe,Kelas Pendidikan Islam mula 7 30 tepat
safe,Parents please check group for updated timetable
safe,Sila ingatkan anak bawa topi semasa aktiviti luar
safe,Anak ada latihan sukan petang ini
safe,Borang kebenaran perlu dipulangkan esok
safe,Cikgu akan call jika ada hal penting
safe,Mohon pastikan anak masuk kelas online ikut masa
safe,Terima kasih semua
safe,Sila semak mesej dari sekolah dalam group rasmi
safe,Parents mohon update nombor telefon jika bertukar
safe,Esok ada ujian spelling English
safe,Latihan buku 2 muka surat 15 hingga 18
safe,Cikgu share gambar aktiviti hari ini dalam group
safe,Mohon maaf ganggu malam malam
safe,Parents ingatkan anak tidur awal esok ada ujian
safe,Assalam kelas tamat 1 00 tengah hari
safe,Sila bawa fail warna biru esok
safe,Reminder hantar buku latihan untuk semakan
safe,Parents boleh hubungi guru kelas untuk urusan bayaran sekolah
safe,Anak perlu bawa apron untuk kelas RBT
safe,Esok murid bawa bekal sendiri
safe,Perhatian program bacaan NILAM minggu ini
safe,Sila pastikan anak bawa kad pelajar
safe,Parents please reply hadir atau tidak untuk lawatan
safe,Terima kasih kerana maklumkan anak demam
safe,Cikgu akan upload latihan dalam Google Classroom
safe,Sila pastikan anak tidak bawa barang berharga
safe,Esok ada latihan muzik
safe,Parents mohon semak kerja sekolah anak
safe,Assalam please check buku latihan Math
safe,Harap maklum kelas tamat awal kerana mesyuarat guru
safe,Parents boleh ambil surat di pejabat sekolah
safe,Sila bawa buku teks sejarah esok
safe,Latihan BI muka surat 22 hingga 24
safe,Esok pakaian sukan lengkap
safe,Cikgu akan buat aktiviti kumpulan dalam kelas
safe,Sila pastikan anak bawa mask jika perlu
safe,Parents mohon isi borang maklumat murid
safe,Program kem motivasi akan dimaklumkan kemudian
safe,Assalam murid diminta hadir awal esok
safe,Sila bawa duit kecil untuk koperasi jika perlu
safe,Parents ingatkan anak siapkan projek seni
safe,Esok ada perhimpunan rasmi
safe,Cikgu share nota ringkas topik hari ini
safe,Sila pastikan anak buat latihan tambahan
safe,Parents please check attendance anak
safe,Esok ada latihan bola jaring
safe,Buku teks akan dipinjamkan minggu ini
safe,Assalam mohon kerjasama hantar anak ikut masa
safe,Sila tulis nama pada semua buku anak
safe,Parents mohon hadir perjumpaan ringkas selepas sekolah
safe,Cikgu akan bagi feedback markah kuiz
safe,Terima kasih
safe,Sila semak surat yang anak bawa balik
safe,Parents mohon prepare alat tulis tambahan
safe,Esok kelas online guna Telegram group
safe,Sila ingatkan anak jangan lewat
safe,Parents boleh tanya jika kurang jelas
safe,Assalam peringatan bayar yuran PIBG ikut arahan sekolah
safe,Esok ada latihan drama bahasa
safe,Sila pastikan anak bawa calculator untuk Math
safe,Parents please reply ok apabila sudah baca
safe,Terima kasih semua parents
safe,Anak diminta bawa kertas A4 esok
safe,Sila bawa buku latihan BM untuk semakan
safe,Parents mohon sokongan untuk aktiviti kelas
safe,Assalam mohon update alamat jika pindah
suspicious,Urgent sila sahkan akaun anda sekarang
suspicious,Perhatian mesej ini penting tindakan segera diperlukan
suspicious,Sila verify maklumat untuk elak sekatan akaun
suspicious,Final notice tindakan diperlukan hari ini
suspicious,Account alert log masuk mencurigakan dikesan
suspicious,Sila kemaskini maklumat peribadi sekarang
suspicious,Your account will be locked if no action
suspicious,Sila klik untuk semak status akaun
suspicious,Warning akaun anda berisiko
suspicious,Sila confirm maklumat untuk pengesahan
suspicious,Notis akhir sila respon segera
suspicious,Sila verify identity anda sekarang
suspicious,Pengesahan diperlukan dalam 24 jam
suspicious,Segera semak mesej ini
suspicious,Important update diperlukan
suspicious,Sila buat pengesahan segera
suspicious,Akaun anda mungkin disekat
suspicious,Security alert sila sahkan
suspicious,Anda perlu tindakan sekarang
suspicious,Sila check status terkini akaun
suspicious,Sila isi maklumat untuk pengaktifan
suspicious,Perlu pengesahan untuk teruskan
suspicious,Account suspended sementara
suspicious,Sila hubungi support melalui link
