message,label
RM0: Your Maybank account has been locked. Verify immediately: http://secure-maybank-login.xyz,phishing
URGENT: Suspicious login detected. Click here to secure your bank account now: http://bank-alert.click,phishing
KWSP: Acc anda disekat kerana kemaskini keselamatan. Sila verify dlm 24 jam: http://kwsp-security.site,phishing
Your parcel cannot be delivered. Update address & pay RM2 fee: http://delivery-update.top,phishing
Shopee: Refund ready for order #48392. Confirm bank details here: http://shopee-refund.xyz,phishing
PDRM: Traffic saman discount 50% today only. Check and pay now: http://mybayar-discount.click,phishing
Bank Alert: Unusual transaction detected. Verify identity now: http://securebank-login.xyz,phishing
DuitNow: Payment pending. Confirm account immediately: http://duitnow-confirm.top,phishing
Telegram Support: Your account will be suspended. Verify here: http://telegram-secure-login.xyz,phishing
WhatsApp Notice: Account flagged for spam activity. Confirm your number: http://whatsapp-check.click,phishing
Your Netflix account payment failed. Update billing info: http://netflix-update-payment.xyz,phishing
Apple ID locked due to suspicious activity. Unlock now: http://apple-security-alert.site,phishing
Google Security: Verify your account to prevent suspension: http://google-verify-account.xyz,phishing
LHDN: Refund available for tax payment. Claim now: http://lhdn-refund.click,phishing
Parcel arrived at warehouse. Pay RM1.50 customs fee: http://parcel-fee.top,phishing
URGENT: Your CIMB account will be closed today. Verify now: http://cimb-security-login.xyz,phishing
Exclusive offer! Claim RM500 Touch n Go reward: http://tng-reward.xyz,phishing
Your Grab account verification required. Click to continue: http://grab-verification.top,phishing
PayPal: Unusual login attempt detected. Secure account now: http://paypal-security.xyz,phishing
Amazon: Confirm delivery details to avoid cancellation: http://amazon-delivery-update.click,phishing
"Boss, urgent. Company payment failed. Please update bank details here: http://payment-fix.xyz",phishing
Bank Islam: TAC verification needed. Enter TAC here: http://bankislam-security.top,phishing
Your Microsoft account password expired. Reset here: http://microsoft-reset-password.xyz,phishing
Government Notice: Subsidy payment pending. Claim now: http://gov-subsidy.click,phishing
Parcel delivery failed. Reschedule here: http://delivery-reschedule.xyz,phishing
Account suspension warning. Verify your info immediately: http://account-verify-now.top,phishing
You won RM1000 shopping voucher! Claim reward: http://voucher-claim.xyz,phishing
Security Alert: Update your password immediately: http://security-update-password.click,phishing
Bank login verification required. Enter credentials here: http://bank-login-check.xyz,phishing
Urgent bank notice: confirm account ownership: http://bank-confirm.top,phishing
Your Apple payment declined. Update payment info: http://apple-payment-update.xyz,phishing
Netflix: Free premium upgrade available. Claim here: http://netflix-free-premium.click,phishing
Touch n Go: Wallet suspended. Verify identity now: http://tng-wallet-verify.xyz,phishing
Parcel stuck at customs. Pay fee to release: http://customs-payment.top,phishing
Google Drive file shared with you. View document: http://drive-file-access.xyz,phishing
University notice: update student portal password: http://student-portal-update.click,phishing
Urgent school notice: verify parent contact details: http://school-update.xyz,phishing
Bank security check: confirm your details immediately: http://secure-check.top,phishing
Your email storage full. Upgrade now: http://email-upgrade.xyz,phishing
Pay delivery tax to receive your parcel today: http://delivery-tax.click,phishing
Account login expired. Verify again: http://account-session-update.xyz,phishing
Urgent: suspicious bank transfer detected: http://bank-transfer-alert.top,phishing
Your Facebook page violated policy. Appeal now: http://facebook-appeal.xyz,phishing
Crypto investment opportunity! Earn RM500 daily: http://crypto-profit.click,phishing
Limited promo: claim your free iPhone today: http://iphone-reward.xyz,phishing
Verify account to avoid permanent suspension: http://account-protection.top,phishing
Security update required for your email account: http://email-security-update.xyz,phishing
Your PayNow transaction failed. Retry now: http://paynow-fix.click,phishing
Account blocked due to inactivity. Reactivate: http://account-reactivate.xyz,phishing
Urgent payment verification needed: http://payment-verification.top,phishing
