label,message
phishing,Amazon: Confirm delivery details to avoid cancellation: http://amazon-delivery-update.click
safe,I'm leaving my house now.
safe,"Awesome, think we can get an 8th at usf some time tonight?"
safe,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?
safe,Lol wtf random. Btw is that your lunch break
safe,I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!
phishing,Bank Alert: Unusual transaction detected. Verify identity now: http://securebank-login.xyz
safe,Yes :)it completely in out of form:)clark also utter waste.
safe,For fear of fainting with the of all that housework you just did? Quick have a cuppa
safe,I will treasure every moment we spend together...
safe,I accidentally deleted the message. Resend please.
safe,Nokia phone is lovly..
safe,Are you sure you don't mean \get here
safe,Huh y lei...
phishing,"For ur chance to win a ?250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
safe,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that
safe,Ok. She'll be ok. I guess
phishing,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
phishing,Todays Voda numbers ending 1225 are selected to receive a ?50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
safe,He remains a bro amongst bros
safe,"\SYMPTOMS\"" when U are in love: \""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your"""
phishing,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
safe,"What i mean was i left too early to check, cos i'm working a 9-6."
safe,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
safe,"Sorry im getting up now, feel really bad- totally rejected that kinda me thing."
safe,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging
safe,I borrow ur bag ok.
safe,"Aight, you close by or still down around alex's place?"
safe,Selamat pagi semua mohon maklumkan jika anak tidak hadir
safe,I fetch yun or u fetch?
safe,Wat ?_ doing now?
safe,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me"
safe,Jus ans me lar. U'll noe later.
safe,Its not the same here. Still looking for a job. How much do Ta's earn there.
safe,"'An Amazing Quote'' - \Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....\"""""
safe,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.
safe,Dear where you. Call me
safe,Also maaaan are you missing out
safe,Nope... C ?_ then...
phishing,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
safe,Wait  &lt;#&gt;  min..
safe,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.
safe,ALSO TELL HIM I SAID HAPPY BIRTHDAY
safe,Booked ticket for pongal?
phishing,You are a winner you have been specially selected to receive ?1000 cash or a ?2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p
safe,?? come lt 25 n pass to me lar
safe,HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX
phishing,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate"
safe,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester"
safe,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy"
phishing,Bought one ringtone and now getting texts costing 3 pound offering more tones etc
safe,Lol I would but despite these cramps I like being a girl.
safe,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow."
safe,Am i that much dirty fellow?
safe,Ya srsly better than yi tho
safe,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -
safe,He's just gonna worry for nothing. And he won't give you money its no use.
safe,Hurry home. Soup is DONE!
phishing,You are a winner you have been specially selected to receive ?1000 cash or a ?2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p
safe,"Yeah, we got one lined up for us"
safe,Aiyah u did ok already lar. E nydc at wheellock?
safe,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.
safe,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*
safe,U calling me right? Call my hand phone...
safe,"Me not waking up until 4 in the afternoon, sup"
safe,And pls pls drink plenty plenty water
suspicious,Sila confirm maklumat untuk pengesahan
safe,Mm i am on the way to railway
safe,Wewa is 130. Iriver 255. All 128 mb.
phishing,More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. A?1.50 minAPN LS278BB
safe,Heehee that was so funny tho
phishing,Netflix account suspended update payment at netflix-billing.xyz
safe,I'll probably be around mu a lot
safe,I'm really sorry I lit your hair on fire
phishing,FREE entry into our ?250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
phishing,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
safe,Keep my payasam there if rinu brings
phishing,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
safe,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...
phishing,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or ?10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+"
safe,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?"
safe,"K, wait chikku..il send aftr  &lt;#&gt; mins"
safe,He's in lag. That's just the sad part but we keep in touch thanks to skype
safe,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.
safe,&lt;#&gt;  am I think? Should say on syllabus
phishing,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
safe,That sucks. I'll go over so u can do my hair. You'll do it free right?
safe,Y de asking like this.
phishing,Google Security: Verify your account to prevent suspension: http://google-verify-account.xyz
safe,Thanks for understanding. I've been trying to tell sura that.
safe,Yup next stop.
safe,"Tonight? Yeah, I'd be down for that"
safe,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat."
safe,Parents boleh tanya jika kurang jelas
safe,I want snow. It's just freezing and windy.
safe,My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:)
safe,Hey are you angry with me. Reply me dr.
phishing,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. ?1.50 SP:Tyrone
safe,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da"
safe,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order"
safe,But you dint in touch with me.
safe,I like to talk pa but am not able to. I dont know y.
safe,You should get more chicken broth if you want ramen unless there's some I don't know about
safe,I'm fine. Hope you are also
safe,Aiyar sorry lor forgot 2 tell u...
safe,One of best dialogue in cute reltnship..!! \Wen i Die
safe,"Nope. Since ayo travelled, he has forgotten his guy"
safe,Guessin you ain't gonna be here before 9?
safe,Okie...
phishing,TAHniah anda menang RM500 klik claim di hadiah-topup.xyz
safe,Tell me again what your address is
safe,See you there!
phishing,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
safe,"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. It makes me want to listen to you less."
safe,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-)
safe,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?"
safe,S....s...india going to draw the series after many years in south african soil..
safe,I'm done...
safe,Then ur physics get a-?
safe,Guess who spent all last night phasing in and out of the fourth dimension
safe,"That's what I love to hear :V see you sundayish, then"
safe,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy
safe,There are no other charges after transfer charges and you can withdraw anyhow you like
phishing,WINNER!! As a valued network customer you have been selected to receivea ?900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
safe,But really quite funny lor wat... Then u shd haf run shorter distance wat...
safe,Parents mohon prepare alat tulis tambahan
safe,Oh baby of the house. How come you dont have any new pictures on facebook
safe,Did he just say somebody is named tampa
phishing,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
safe,it's really getting me down just hanging around.
safe,Sorry de i went to shop.
safe,"Ya ok, then had dinner?"
safe,?? give me some time to walk there.
phishing,Please CALL 08712402779 immediately as there is an urgent message waiting for you
safe,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back
safe,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ..."
safe,Hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.
safe,Actually I decided I was too hungry so I haven't left yet :V
safe,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up."
safe,No it will reach by 9 only. She telling she will be there. I dont know
safe,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.
safe,See? I thought it all through
safe,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime
safe,"Coffee cake, i guess..."
safe,"Hmm well, night night"
safe,Si si. I think ill go make those oreo truffles.
safe,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday
phishing,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
safe,"Thank you. And by the way, I just lost."
safe,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
safe,Wanna do some art?! :D
safe,My drive can only be read. I need to write
safe,"Sir, I need AXIS BANK account no and bank address."
safe,Me i'm not workin. Once i get job...
safe,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
phishing,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a ?150 prize. To collect is easy. Just call 09061743386
safe,I meant as an apology from me for texting you to get me drugs at  &lt;#&gt; at night
safe,soon you will have the real thing princess! Do i make you wet? :)
safe,"Damn, poor zac doesn't stand a chance"
safe,So the sun is anti sleep medicine.
safe,Actually i'm waiting for 2 weeks when they start putting ad.
safe,"\BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & I?LLSPEAK 2U SOONLOTS OF LOVEME XXXX.\"""""
safe,If I was I wasn't paying attention
safe,Wen did you get so spiritual and deep. That's great
safe,No..few hours before.went to hair cut .
safe,Now press conference da:)
safe,Hmmm.but you should give it on one day..
safe,What's your room number again? Wanna make sure I'm knocking on the right door
safe,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
safe,No problem. We will be spending a lot of quality time together...
safe,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...
phishing,Urgent! Please call 09061213237 from landline. ?5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+
safe,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..
phishing,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
safe,How much i gave to you. Morning.
safe,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
safe,Ard 4 lor...
safe,Wat's da model num of ur phone?
safe,Much better now thanks lol
safe,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola"
phishing,Please CALL 08712402578 immediately as there is an urgent message waiting for you
safe,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
safe,Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.
safe,Headin towards busetop
